Image_ID,Modality,Model,Prompt,Dice,HD95,ASD
Color2_000098,Colour,ST-SAM,GT_Box,0.9355998635292053,3.605551242828369,1.2798808813095093
Color2_000292,Colour,ST-SAM,GT_Box,0.9312288761138916,2.2360680103302,0.7987078428268433
Color2_000429,Colour,ST-SAM,GT_Box,0.9352567791938782,2.0,0.640647292137146
Color2_000668,Colour,ST-SAM,GT_Box,0.9071136116981506,4.242640495300293,0.9376498460769653
Infrared2_000015,Infrared,ST-SAM,GT_Box,0.843463122844696,4.123105525970459,1.2485092878341675
Infrared2_000391,Infrared,ST-SAM,GT_Box,0.9045122265815735,4.194823741912842,1.2370904684066772
Infrared2_000645,Infrared,ST-SAM,GT_Box,0.8657217621803284,6.379549980163574,1.8552173376083374
Infrared3_000146,Infrared,ST-SAM,GT_Box,0.927762508392334,8.508771896362305,1.8062185049057007
Color2_000098,Colour,MedSAM,GT_Box,0.8386971950531006,9.964825630187988,2.4782540798187256
Color2_000292,Colour,MedSAM,GT_Box,0.9025348424911499,3.1622776985168457,1.1163725852966309
Color2_000429,Colour,MedSAM,GT_Box,0.9229674339294434,2.8284270763397217,0.7819453477859497
Color2_000668,Colour,MedSAM,GT_Box,0.8209570646286011,31.0,4.842677116394043
Infrared2_000015,Infrared,MedSAM,GT_Box,0.7950538396835327,12.090741157531738,1.4807441234588623
Infrared2_000391,Infrared,MedSAM,GT_Box,0.8029381036758423,7.732454299926758,2.282869577407837
Infrared2_000645,Infrared,MedSAM,GT_Box,0.6774386763572693,11.401754379272461,4.559814929962158
Infrared3_000146,Infrared,MedSAM,GT_Box,0.8946359157562256,7.6157732009887695,2.7113845348358154
Color2_000098,Colour,MSA,GT_Box,0.9403282403945923,7.6157732009887695,1.4431174993515015
Color2_000292,Colour,MSA,GT_Box,0.9132925868034363,3.1622776985168457,1.0082542896270752
Color2_000429,Colour,MSA,GT_Box,0.9286264181137085,2.0,0.7269008159637451
Color2_000668,Colour,MSA,GT_Box,0.8781383037567139,9.0,2.105365753173828
Infrared2_000015,Infrared,MSA,GT_Box,0.7966691255569458,12.469655990600586,1.432091474533081
Infrared2_000391,Infrared,MSA,GT_Box,0.7893233299255371,12.945536613464355,2.4130446910858154
Infrared2_000645,Infrared,MSA,GT_Box,0.7591596245765686,9.219544410705566,3.9652857780456543
Infrared3_000146,Infrared,MSA,GT_Box,0.8625937104225159,10.198039054870605,3.619763135910034
Color2_000098,Colour,LoRA,GT_Box,0.8599708676338196,9.219544410705566,2.505922794342041
Color2_000292,Colour,LoRA,GT_Box,0.889700174331665,3.605551242828369,1.174426794052124
Color2_000429,Colour,LoRA,GT_Box,0.8853989839553833,3.0,1.2581578493118286
Color2_000668,Colour,LoRA,GT_Box,0.8360916972160339,19.0,3.4304025173187256
Infrared2_000015,Infrared,LoRA,GT_Box,0.7811791300773621,10.0,2.3762600421905518
Infrared2_000391,Infrared,LoRA,GT_Box,0.7935688495635986,6.0,2.63938307762146
Infrared2_000645,Infrared,LoRA,GT_Box,0.6944316625595093,11.313708305358887,3.1833155155181885
Infrared3_000146,Infrared,LoRA,GT_Box,0.820824146270752,15.886837005615234,3.5535218715667725
Color2_000098,Colour,BaselineSAM,GT_Box,0.8779755234718323,9.219544410705566,2.1605477333068848
Color2_000292,Colour,BaselineSAM,GT_Box,0.9029062986373901,3.1622776985168457,1.0116320848464966
Color2_000429,Colour,BaselineSAM,GT_Box,0.8710135817527771,7.788656711578369,1.475996494293213
Color2_000668,Colour,BaselineSAM,GT_Box,0.8053820729255676,26.0,4.12354040145874
Infrared2_000015,Infrared,BaselineSAM,GT_Box,0.8210805058479309,11.213543891906738,1.4008806943893433
Infrared2_000391,Infrared,BaselineSAM,GT_Box,0.8547430634498596,6.194725513458252,1.7665892839431763
Infrared2_000645,Infrared,BaselineSAM,GT_Box,0.6848889589309692,13.601470947265625,5.105464935302734
Infrared3_000146,Infrared,BaselineSAM,GT_Box,0.8166265487670898,14.0,3.968487024307251
Color2_000098,Colour,U-Net,None,0.027104239910840988,664.3011474609375,293.70355224609375
Color2_000292,Colour,U-Net,None,0.029822589829564095,716.5892944335938,319.5932922363281
Color2_000429,Colour,U-Net,None,0.01807371899485588,597.1775512695312,274.20928955078125
Color2_000668,Colour,U-Net,None,0.015847118571400642,612.4703979492188,275.13275146484375
Infrared2_000015,Infrared,U-Net,None,0.008428466506302357,716.0107421875,351.86614990234375
Infrared2_000391,Infrared,U-Net,None,0.015647029504179955,703.4202270507812,341.41632080078125
Infrared2_000645,Infrared,U-Net,None,0.02855610102415085,558.1986694335938,259.1922302246094
Infrared3_000146,Infrared,U-Net,None,0.03024437464773655,779.8196411132812,372.6720275878906
Color2_000098,Colour,Swin-UNETR,None,0.9052135944366455,53.33854293823242,7.245168685913086
Color2_000292,Colour,Swin-UNETR,None,0.8989704847335815,14.08890151977539,0.8211773633956909
Color2_000429,Colour,Swin-UNETR,None,0.9023032784461975,24.47138214111328,0.6083369851112366
Color2_000668,Colour,Swin-UNETR,None,0.909042239189148,19.731447219848633,2.9533450603485107
Infrared2_000015,Infrared,Swin-UNETR,None,0.7534453272819519,73.52210235595703,19.441335678100586
Infrared2_000391,Infrared,Swin-UNETR,None,0.762418270111084,98.89030456542969,15.136757850646973
Infrared2_000645,Infrared,Swin-UNETR,None,0.8884297609329224,4.123105525970459,1.724707841873169
Infrared3_000146,Infrared,Swin-UNETR,None,0.9404184222221375,8.337233543395996,4.302774906158447
Color2_000098,Colour,DeepLabV3+,None,0.9164194464683533,22.900753021240234,3.3033933639526367
Color2_000292,Colour,DeepLabV3+,None,0.8973296284675598,15.521467208862305,0.8181368708610535
Color2_000429,Colour,DeepLabV3+,None,0.9243854284286499,6.324555397033691,0.6555690169334412
Color2_000668,Colour,DeepLabV3+,None,0.9000760912895203,7.0,1.7099761962890625
Infrared2_000015,Infrared,DeepLabV3+,None,0.7370084524154663,75.9578857421875,10.640813827514648
Infrared2_000391,Infrared,DeepLabV3+,None,0.8499945402145386,9.0,2.927299976348877
Infrared2_000645,Infrared,DeepLabV3+,None,0.8162413835525513,17.02056884765625,1.8377537727355957
Infrared3_000146,Infrared,DeepLabV3+,None,0.9201880097389221,21.032075881958008,3.5339457988739014
0,Color1_000297,Colour,ST-SAM,GT_Box,0.9343987107276917,6.4031243324279785,1.4206385612487793
0,Color1_000297,Colour,ST-SAM,YOLO_Box,0.9485856890678406,4.0,1.3429862260818481
0,Color1_000115,Colour,ST-SAM,GT_Box,0.9108809232711792,5.099019527435303,1.0528656244277954
0,Color1_000115,Colour,ST-SAM,YOLO_Box,0.5025122165679932,187.5282440185547,38.35554885864258
0,Color1_000379,Colour,ST-SAM,GT_Box,0.9283895492553711,5.0,1.0528059005737305
0,Color1_000379,Colour,ST-SAM,YOLO_Box,0.9103177785873413,7.211102485656738,1.030867576599121
0,Color1_000820,Colour,ST-SAM,GT_Box,0.8727560043334961,3.605551242828369,1.0529670715332031
0,Color1_000820,Colour,ST-SAM,YOLO_Box,0.8695831298828125,4.123105525970459,1.126310110092163
0,Color1_000229,Colour,ST-SAM,GT_Box,0.8679094910621643,5.0,1.0278449058532715
0,Color1_000229,Colour,ST-SAM,YOLO_Box,0.8382940888404846,28.301815032958984,3.620793342590332
0,Color1_000691,Colour,ST-SAM,GT_Box,0.9146124720573425,5.0,0.821018636226654
0,Color1_000691,Colour,ST-SAM,YOLO_Box,0.8803616166114807,15.808844566345215,2.7862842082977295
0,Color1_000160,Colour,ST-SAM,GT_Box,0.864292562007904,6.4031243324279785,0.8788460493087769
0,Color1_000160,Colour,ST-SAM,YOLO_Box,0.8462538123130798,19.73692512512207,0.8707576990127563
0,Color1_000137,Colour,ST-SAM,GT_Box,0.8838575482368469,7.162093639373779,2.011486530303955
0,Color1_000137,Colour,ST-SAM,YOLO_Box,0.846479594707489,28.26569366455078,1.7412015199661255
0,Color1_000639,Colour,ST-SAM,GT_Box,0.9418776631355286,3.0,0.7564715147018433
0,Color1_000639,Colour,ST-SAM,YOLO_Box,0.9447498321533203,3.0,0.7559705376625061
0,Color1_000596,Colour,ST-SAM,GT_Box,0.938443124294281,3.0,0.7446649074554443
0,Color1_000596,Colour,ST-SAM,YOLO_Box,0.8989777565002441,39.49842834472656,0.6074867248535156
0,Color1_000195,Colour,ST-SAM,GT_Box,0.9398464560508728,8.5440034866333,1.8272815942764282
0,Color1_000195,Colour,ST-SAM,YOLO_Box,0.9352157711982727,10.0,2.316415309906006
0,Color1_000546,Colour,ST-SAM,GT_Box,0.9517451524734497,2.2360680103302,0.6947054862976074
0,Color1_000546,Colour,ST-SAM,YOLO_Box,0.9371423125267029,2.8284270763397217,0.9256917834281921
0,Color1_000585,Colour,ST-SAM,GT_Box,0.9277145862579346,4.0,1.30153489112854
0,Color1_000585,Colour,ST-SAM,YOLO_Box,0.8652891516685486,33.702091217041016,4.947441101074219
0,Color1_000205,Colour,ST-SAM,GT_Box,0.9224920868873596,2.2006521224975586,0.619377613067627
0,Color1_000205,Colour,ST-SAM,YOLO_Box,0.9105932712554932,7.269757270812988,0.5752032399177551
0,Color1_000420,Colour,ST-SAM,GT_Box,0.9409825801849365,5.830951690673828,1.629197359085083
0,Color1_000420,Colour,ST-SAM,YOLO_Box,0.8970669507980347,39.917335510253906,1.401770830154419
0,Color1_000047,Colour,ST-SAM,GT_Box,0.9309198260307312,6.0,0.7123059630393982
0,Color1_000047,Colour,ST-SAM,YOLO_Box,0.7091773152351379,116.24800872802734,15.589082717895508
0,Color1_000432,Colour,ST-SAM,GT_Box,0.9194579124450684,3.1622776985168457,0.9115848541259766
0,Color1_000432,Colour,ST-SAM,YOLO_Box,0.9280138611793518,2.8284270763397217,0.908431887626648
0,Color1_000641,Colour,ST-SAM,GT_Box,0.9236459732055664,3.0,0.8206793665885925
0,Color1_000641,Colour,ST-SAM,YOLO_Box,0.9178262948989868,6.282167434692383,0.7702378630638123
0,Color1_000120,Colour,ST-SAM,GT_Box,0.8860905170440674,7.0,2.151306629180908
0,Color1_000120,Colour,ST-SAM,YOLO_Box,0.6905374526977539,79.7946548461914,11.279792785644531
0,Color1_000413,Colour,ST-SAM,GT_Box,0.9143299460411072,5.764072895050049,1.3870604038238525
0,Color1_000413,Colour,ST-SAM,YOLO_Box,0.7828015685081482,115.43396759033203,18.39297103881836
0,Color1_000512,Colour,ST-SAM,GT_Box,0.9567275643348694,4.200806140899658,0.8498027920722961
0,Color1_000512,Colour,ST-SAM,YOLO_Box,0.7645608186721802,109.23827362060547,17.70401954650879
0,Color1_000277,Colour,ST-SAM,GT_Box,0.959437906742096,4.4721360206604,0.8289209604263306
0,Color1_000277,Colour,ST-SAM,YOLO_Box,0.946098804473877,6.324555397033691,1.2328423261642456
0,Color1_000687,Colour,ST-SAM,GT_Box,0.9401517510414124,3.0,0.9742925763130188
0,Color1_000687,Colour,ST-SAM,YOLO_Box,0.8042849898338318,121.70389556884766,22.57004737854004
0,Color1_000775,Colour,ST-SAM,GT_Box,0.9158185720443726,6.0,1.8888540267944336
0,Color1_000775,Colour,ST-SAM,YOLO_Box,0.7998682260513306,112.529052734375,16.196046829223633
0,Color1_000191,Colour,ST-SAM,GT_Box,0.906558096408844,6.8103251457214355,1.9817947149276733
0,Color1_000191,Colour,ST-SAM,YOLO_Box,0.8910645842552185,7.783717155456543,2.549098014831543
0,Color1_000159,Colour,ST-SAM,GT_Box,0.8731461763381958,2.8284270763397217,1.3694143295288086
0,Color1_000159,Colour,ST-SAM,YOLO_Box,0.8592708706855774,4.242640495300293,3.2266674041748047
0,Color1_000414,Colour,ST-SAM,GT_Box,0.9216287732124329,6.7082037925720215,0.899874210357666
0,Color1_000414,Colour,ST-SAM,YOLO_Box,0.9342770576477051,3.605551242828369,0.8356053233146667
0,Color1_000799,Colour,ST-SAM,GT_Box,0.9698871970176697,2.2360680103302,0.7855527400970459
0,Color1_000799,Colour,ST-SAM,YOLO_Box,0.9291325807571411,19.074665069580078,2.082787036895752
0,Color1_000528,Colour,ST-SAM,GT_Box,0.8958562016487122,4.116951942443848,0.9296014308929443
0,Color1_000528,Colour,ST-SAM,YOLO_Box,0.8969204425811768,2.0,0.9479730129241943
0,Color1_000131,Colour,ST-SAM,GT_Box,0.9494372010231018,3.605551242828369,0.9510803818702698
0,Color1_000131,Colour,ST-SAM,YOLO_Box,0.9477577805519104,4.123105525970459,1.1677427291870117
